date,indicator,domain,value,subgroup,model_version,direction,warning_threshold,stop_threshold,owner,response,status
2025-03-01,Brier score,Technical,0.1871,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2025-04-01,Brier score,Technical,0.1814,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2025-05-01,Brier score,Technical,0.192,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2025-06-01,Brier score,Technical,0.1934,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2025-07-01,Brier score,Technical,0.2131,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2025-08-01,Brier score,Technical,0.2028,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2025-09-01,Brier score,Technical,0.2026,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2025-10-01,Brier score,Technical,0.2038,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2025-11-01,Brier score,Technical,0.2275,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2025-12-01,Brier score,Technical,0.2296,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2026-01-01,Brier score,Technical,0.2473,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,WARNING
2026-02-01,Brier score,Technical,0.2353,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2026-03-01,Brier score,Technical,0.2313,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2026-04-01,Brier score,Technical,0.248,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,WARNING
2026-05-01,Brier score,Technical,0.2316,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2026-06-01,Brier score,Technical,0.2427,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,WARNING
2025-01-01,Complaint rate,Trust,0.0195,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2025-02-01,Complaint rate,Trust,0.0141,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2025-03-01,Complaint rate,Trust,0.0212,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2025-04-01,Complaint rate,Trust,0.0117,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2025-05-01,Complaint rate,Trust,0.0189,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2025-06-01,Complaint rate,Trust,0.0283,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2025-07-01,Complaint rate,Trust,0.0303,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2025-08-01,Complaint rate,Trust,0.0302,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2025-09-01,Complaint rate,Trust,0.0286,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2025-10-01,Complaint rate,Trust,0.0284,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2025-11-01,Complaint rate,Trust,0.0394,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2025-12-01,Complaint rate,Trust,0.0364,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2026-01-01,Complaint rate,Trust,0.0378,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2026-02-01,Complaint rate,Trust,0.0369,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,OK
2026-03-01,Complaint rate,Trust,0.0461,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,WARNING
2026-04-01,Complaint rate,Trust,0.05,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,WARNING
2026-05-01,Complaint rate,Trust,0.0516,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,WARNING
2026-06-01,Complaint rate,Trust,0.0474,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,WARNING
2025-01-01,Cost per use,Economic,26.243,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,OK
2025-02-01,Cost per use,Economic,27.3905,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,OK
2025-03-01,Cost per use,Economic,27.2826,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,OK
2025-04-01,Cost per use,Economic,28.026,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,OK
2025-05-01,Cost per use,Economic,29.155,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,OK
2025-06-01,Cost per use,Economic,31.9496,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,OK
2025-07-01,Cost per use,Economic,30.0485,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,OK
2025-08-01,Cost per use,Economic,31.8532,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,OK
2025-09-01,Cost per use,Economic,32.4381,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,OK
2025-10-01,Cost per use,Economic,29.8016,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,OK
2025-11-01,Cost per use,Economic,32.1943,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,OK
2025-12-01,Cost per use,Economic,36.8995,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-01-01,Cost per use,Economic,36.5227,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-02-01,Cost per use,Economic,39.2387,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-03-01,Cost per use,Economic,37.1714,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-04-01,Cost per use,Economic,38.0762,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-05-01,Cost per use,Economic,37.4363,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-06-01,Cost per use,Economic,38.5243,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2025-01-01,False alert rate,Workflow,0.1732,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,OK
2025-02-01,False alert rate,Workflow,0.1826,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,OK
2025-03-01,False alert rate,Workflow,0.1849,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,OK
2025-04-01,False alert rate,Workflow,0.1985,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,OK
2025-05-01,False alert rate,Workflow,0.2225,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,OK
2025-06-01,False alert rate,Workflow,0.1961,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,OK
2025-07-01,False alert rate,Workflow,0.2161,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,OK
2025-08-01,False alert rate,Workflow,0.2335,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,OK
2025-09-01,False alert rate,Workflow,0.2247,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,OK
2025-10-01,False alert rate,Workflow,0.2371,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,OK
2025-11-01,False alert rate,Workflow,0.2667,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2025-12-01,False alert rate,Workflow,0.2564,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-01-01,False alert rate,Workflow,0.2748,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-02-01,False alert rate,Workflow,0.2624,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-03-01,False alert rate,Workflow,0.2546,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-04-01,False alert rate,Workflow,0.2671,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-05-01,False alert rate,Workflow,0.2663,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-06-01,False alert rate,Workflow,0.2821,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2025-01-01,Older-adult sensitivity,Equity,0.7708,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",OK
2025-02-01,Older-adult sensitivity,Equity,0.7608,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",OK
2025-03-01,Older-adult sensitivity,Equity,0.7563,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",OK
2025-04-01,Older-adult sensitivity,Equity,0.7508,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",OK
2025-05-01,Older-adult sensitivity,Equity,0.7259,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",OK
2025-06-01,Older-adult sensitivity,Equity,0.7564,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",OK
2025-07-01,Older-adult sensitivity,Equity,0.7298,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",OK
2025-08-01,Older-adult sensitivity,Equity,0.7069,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",OK
2025-09-01,Older-adult sensitivity,Equity,0.7063,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",OK
2025-10-01,Older-adult sensitivity,Equity,0.6991,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2025-11-01,Older-adult sensitivity,Equity,0.6873,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2025-12-01,Older-adult sensitivity,Equity,0.6674,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-01-01,Older-adult sensitivity,Equity,0.6736,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-02-01,Older-adult sensitivity,Equity,0.6928,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-03-01,Older-adult sensitivity,Equity,0.693,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-04-01,Older-adult sensitivity,Equity,0.659,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-05-01,Older-adult sensitivity,Equity,0.6545,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-06-01,Older-adult sensitivity,Equity,0.6434,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
