old_table_id,chapter,old_title_short,status,new_table_id,required_action
8.2,8,Illustrative scenarios for future-proof AI decisions,REPLACE,8.3,Replace with a structured uncertainty-to-analysis table.
8.3,8,Minimum controls for decision-support models and simulation tools,RENUMBER,8.4,Revise as evidence required to establish model credibility.
9.1,9,Pre-procurement questions and evidence requirements,REPLACE,9.1,Replace with supplier disclosure and contractual evidence schedule.
9.2,9,Weighted procurement scorecard with mandatory safeguards,RETAIN_RECREATE,9.2,Retain comparative scoring only after mandatory eligibility screening.
9.3,9,Common procurement failures and preventive controls,RETIRE,,Absorb into procurement guidance and obligation register.
9.4,9,Vendor-renegotiation decision record,RENUMBER,9.3,Revise as renegotiation and exit options.
10.1,10,Ethical questions and safeguards across the AI lifecycle,RETIRE,,Absorb into C03/C04/C05 and chapter narrative.
10.2,10,Status and future-proof use of selected governance instruments,RETAIN_RECREATE,10.2,Revise as legal force and institutional function.
10.3,10,"Regulatory, institutional and managerial responsibilities",RENUMBER,10.1,Revise as decision rights and escalation points.
10.4,10,Integrated institutional-risk register,RETIRE,,Retain as companion tool rather than current book table.
11.1,11,Evidence stages for healthcare AI evaluation,RETAIN_RECREATE,11.1,Revise as evidentiary claims and limits.
11.2,11,Functional status of selected evidence and implementation instruments,RETAIN_RECREATE,11.2,Revise as functional roles.
11.3,11,Causal designs for evaluating AI-enabled implementation,RETAIN,11.3,Refresh terminology and estimands.
11.4,11,Implementation and evidence synthesis record,RETAIN_RECREATE,11.4,Revise as decision-ready evidence claims record.
12.1,12,Methodological levels in AI health economics,RETIRE,,Remove from active book-table references.
12.2,12,Six-layer evaluation architecture and decision outputs,RETIRE,,Absorb into AI-HEVG and D02 without preserving a second architecture.
12.3,12,Hierarchy and status of the author-developed framework package,RETIRE,,Absorb into framework-status and proportionality guidance.
12.4,12,AI-HEVG domains and mandatory concerns,RENUMBER,12.1,Revise as domains contributing to institutional judgement.
12.5,12,Proposed AI-HEVG ordinal anchors,RETIRE,,De-emphasize scoring; mandatory safeguards remain non-compensatory.
12.6,12,External alignment of the proposed framework package,RETIRE,,Remove from active table map; retain external alignment only as supporting documentation.
12.7,12,Post-deployment monitoring and algorithmovigilance cadence,CONSOLIDATE,12.4,Integrate with lifecycle trigger/default response logic and D03.
12.8,12,Incident taxonomy for AI-enabled health services,CONSOLIDATE,12.4,Integrate with transition triggers and D04.
12.9,12,Material-change classification and response,RENUMBER,12.5,Retain and revise.
12.10,12,GATED-AI lifecycle gates,RETIRE,,Replace in active navigation with institutional decision states and transition conditions.
12.11,12,Institutional instrument categories and required outputs,RETIRE,,Move selection logic to companion catalog rather than the book.
13.1,13,Healthcare circularity hierarchy,RETAIN,13.1,Refresh wording and value-retention emphasis.
13.2,13,Institutional capabilities for circular resource stewardship,RETIRE,,Absorb into E01 and chapter narrative.
13.3,13,AI-enabled circular mechanisms and balancing risks,RENUMBER,13.2,Revise as mechanisms and countervailing effects.
14.1,14,Circular procurement requirements for AI-enabled health technology,RETAIN_RECREATE,14.1,Revise as asset-stewardship requirements.
14.2,14,"Comparison of maintain, refurbish, replace and shared-service options",RETAIN_RECREATE,14.2,Revise as asset-life strategies and viability conditions.
14.3,14,Minimum decommissioning and disposition record,RETAIN_RECREATE,14.3,Revise as asset disposition and closure record.
15.1,15,Complementary methods for circularity-adjusted evaluation,RETAIN_RECREATE,15.1,Revise as analytic interfaces.
15.2,15,Illustrative indicators for circularity and sustainable value,RETIRE,,Move to dashboards and Chapter 13 resource-accounting tools.
15.3,15,Treatment of circularity-related effects in economic evaluation,RENUMBER,15.2,Revise as accounting treatment and double-counting rules.
,8,,NEW,8.2,New table: AI characteristics that may require explicit representation in a decision model.
,12,,NEW,12.2,New table: minimum decision-provenance structure of the AI-HED.
,12,,NEW,12.3,New table: institutional decision states and transition conditions.
,12,,NEW,12.6,New table: illustrative decision history for a readmission-risk intervention.
,13,,NEW,13.3,New table: core quantities for circular resource accounting.
