case_id,title,chapter,chapter_title,related_core_resources,related_python_modules,formats,version,status,folder,canonical_folder,browser_demo_path,synthetic_data_status,release_date
AIHE-CASE08,Imaging Prioritization Decision Model and Value of Information,8,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05; AIHE-EX15; AIHE-EX16; AIHE-AA,AIHE-PY14; AIHE-PY15; AIHE-PY18; AIHE-PY19; AIHE-PY20,md; csv; json; xlsx,V1.0,public,worked_examples/CASE08_imaging_voi,worked_examples/CASE08_imaging_voi,docs/demos/AIHE-CASE08/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE08B,EVSI and Expected Net Benefit of Sampling for a Staged Pilot,8,"Decision Modelling, Simulation, and the Value of Information",AIHE-B05,AIHE-PY14; AIHE-PY15,md; csv; json; xlsx,V1.0,public,worked_examples/CASE08B_evsi,worked_examples/CASE08B_evsi,docs/demos/AIHE-CASE08B/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE09,AI Vendor Procurement and Contract Negotiation,9,Problem-First Procurement and Vendor Governance,AIHE-D01; AIHE-D; AIHE-EX08; AIHE-EX09; AIHE-Q; AIHE-EX17,AIHE-PY17; AIHE-PY25,md; csv; json; xlsx,V1.0,public,worked_examples/CASE09_vendor_contract,worked_examples/CASE09_vendor_contract,docs/demos/AIHE-CASE09/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE09B,Upstream Model-Provider Change During a Vendor Contract,9,Problem-First Procurement and Vendor Governance,AIHE-D01; AIHE-D05; AIHE-D02,AIHE-PY17; AIHE-PY25; AIHE-PY40,md; csv; json; xlsx,V1.0,public,worked_examples/CASE09B_model_change,worked_examples/CASE09B_model_change,docs/demos/AIHE-CASE09B/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE10,Patient-Facing Chatbot Institutional-Risk Review,10,"Governance, Accountability, and Institutional Risk",AIHE-C03; AIHE-C; AIHE-AB; AIHE-AC; AIHE-C05; AIHE-EX13,AIHE-PY07; AIHE-PY08; AIHE-PY26,md; csv; json; xlsx,V1.0,public,worked_examples/CASE10_chatbot_risk,worked_examples/CASE10_chatbot_risk,docs/demos/AIHE-CASE10/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE11,Local Validation and Causal Evaluation of a Readmission Model,11,"Evidence, Validation, and Real-World Evaluation",AIHE-B05; AIHE-EX05; AIHE-EX04; AIHE-V,AIHE-PY04; AIHE-PY05; AIHE-PY24; AIHE-PY30; AIHE-PY31; AIHE-PY32,md; csv; json; xlsx,V1.0,public,worked_examples/CASE11_readmit_eval,worked_examples/CASE11_readmit_eval,docs/demos/AIHE-CASE11/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE12,"Model Update, Incident Response, and Renewal Decision",12,Decision Architecture and Lifecycle Governance,AIHE-D02; AIHE-D03; AIHE-D04; AIHE-D05; AIHE-S; AIHE-EX11; AIHE-EX12,AIHE-PY09; AIHE-PY27; AIHE-PY29,md; csv; json; xlsx,V1.0,public,worked_examples/CASE12_update_renew,worked_examples/CASE12_update_renew,docs/demos/AIHE-CASE12/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE13,Circular AI Infrastructure Strategy,13,Circular Health Systems and Resource Stewardship,AIHE-E01; AIHE-CE1; AIHE-CE4; AIHE-I,AIHE-PY36; AIHE-PY39,md; csv; json; xlsx,V1.0,public,worked_examples/CASE13_circular_infra,worked_examples/CASE13_circular_infra,docs/demos/AIHE-CASE13/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE13B,Rebound and Burden Transfer,13,Circular Health Systems and Resource Stewardship,AIHE-E01; AIHE-E05,AIHE-PY36; AIHE-PY39,md; csv; json; xlsx,V1.0,public,worked_examples/CASE13B_rebound,worked_examples/CASE13B_rebound,docs/demos/AIHE-CASE13B/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE14,"Imaging Platform: Maintain, Refurbish, Replace, or Share",14,Circular Procurement and Asset Stewardship,AIHE-E02; AIHE-E03; AIHE-CE2; AIHE-CE3; AIHE-D01; AIHE-T,AIHE-PY37,md; csv; json; xlsx,V1.0,public,worked_examples/CASE14_asset_options,worked_examples/CASE14_asset_options,docs/demos/AIHE-CASE14/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE15,AI-Assisted Remote Diagnostic Pathway: Circularity-Adjusted Economic Evaluation,15,Circularity-Adjusted Economic Evaluation and Sustainable Value,AIHE-E04; AIHE-E05; AIHE-E03; AIHE-B04; AIHE-D02,AIHE-PY38; AIHE-PY39; AIHE-PY40,md; csv; json; xlsx,V1.0,public,worked_examples/CASE15_remote_diag,worked_examples/CASE15_remote_diag,docs/demos/AIHE-CASE15/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
