table,chapter,chapter_title,caption,status,version,release_date
10.1,10,"Governance, Accountability, and Institutional Risk",Decision rights and escalation points in institutional AI governance,Current principal book table,V1.0,2026-09-02
10.2,10,"Governance, Accountability, and Institutional Risk",Legal force and institutional function of selected AI governance instruments,Current principal book table,V1.0,2026-09-02
11.1,11,"Evidence, Validation, and Real-World Evaluation",Evidentiary claims and what different designs can establish,Current principal book table,V1.0,2026-09-02
11.2,11,"Evidence, Validation, and Real-World Evaluation",Functional roles of selected evidence instruments,Current principal book table,V1.0,2026-09-02
11.3,11,"Evidence, Validation, and Real-World Evaluation",Causal designs for evaluating AI-enabled interventions,Current principal book table,V1.0,2026-09-02
11.4,11,"Evidence, Validation, and Real-World Evaluation",Decision-ready evidence claims record,Current principal book table,V1.0,2026-09-02
12.1,12,Decision Architecture and Lifecycle Governance,AI-HEVG domains and their contribution to institutional judgement,Current principal book table,V1.0,2026-09-02
12.2,12,Decision Architecture and Lifecycle Governance,Minimum decision-provenance structure of the AI-HED,Current principal book table,V1.0,2026-09-02
12.3,12,Decision Architecture and Lifecycle Governance,Institutional decision states and transition conditions,Current principal book table,V1.0,2026-09-02
12.4,12,Decision Architecture and Lifecycle Governance,Lifecycle transition triggers and default decision response,Current principal book table,V1.0,2026-09-02
12.5,12,Decision Architecture and Lifecycle Governance,Illustrative material-change classification and decision response,Current principal book table,V1.0,2026-09-02
12.6,12,Decision Architecture and Lifecycle Governance,Illustrative decision history for a readmission risk intervention,Current principal book table,V1.0,2026-09-02
13.1,13,Circular Health Systems and Resource Stewardship,Healthcare circularity hierarchy for AI-enabled services and infrastructure,Current principal book table,V1.0,2026-09-02
13.2,13,Circular Health Systems and Resource Stewardship,AI-enabled resource mechanisms and countervailing effects,Current principal book table,V1.0,2026-09-02
13.3,13,Circular Health Systems and Resource Stewardship,Core quantities for circular resource accounting,Current principal book table,V1.0,2026-09-02
14.1,14,Circular Procurement and Asset Stewardship,Asset-stewardship requirements for procurement and contracting,Current principal book table,V1.0,2026-09-02
14.2,14,Circular Procurement and Asset Stewardship,Asset-life strategies and their conditions of viability,Current principal book table,V1.0,2026-09-02
14.3,14,Circular Procurement and Asset Stewardship,Asset disposition and closure record,Current principal book table,V1.0,2026-09-02
15.1,15,Circularity-Adjusted Economic Evaluation and Sustainable Value,Analytic interfaces in circularity-adjusted economic evaluation,Current principal book table,V1.0,2026-09-02
15.2,15,Circularity-Adjusted Economic Evaluation and Sustainable Value,Accounting treatment and double-counting rules,Current principal book table,V1.0,2026-09-02
