resource_id,module_number,title,primary_chapter,primary_chapter_title,additional_chapters,related_core_resources,related_case,formats,version,status,folder,primary_related_case,additional_related_cases,related_cases,script_path,notebook_path,xlsx_template_path,ods_template_path,example_outputs_path,release_date,safeguard
AIHE-PY20,20,Patient-level microsimulation,8,"Decision Modelling, Simulation, and the Value of Information",8,AIHE-B05,AIHE-CASE08,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/08/py/PY20_microsim,AIHE-CASE08,,AIHE-CASE08,chapters/08/py/PY20_microsim/python/20_patient_microsimulation.py,chapters/08/py/PY20_microsim/notebook/20_patient_microsimulation.ipynb,chapters/08/py/PY20_microsim/data/xlsx/20_patient_microsimulation_template.xlsx,,chapters/08/py/PY20_microsim/outputs/example,2026-09-02,
AIHE-PY21,21,Discrete-event simulation of hospital flow,3,Human–AI Decision Systems and Managerial Action,"3, 8",AIHE-B05; AIHE-C04,AIHE-CASE03,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/03/py/PY21_discrete_event,AIHE-CASE03,AIHE-CASE03B,AIHE-CASE03; AIHE-CASE03B,chapters/03/py/PY21_discrete_event/python/21_discrete_event_hospital_flow.py,chapters/03/py/PY21_discrete_event/notebook/21_discrete_event_hospital_flow.ipynb,chapters/03/py/PY21_discrete_event/data/xlsx/21_discrete_event_hospital_flow_template.xlsx,,chapters/03/py/PY21_discrete_event/outputs/example,2026-09-02,
AIHE-PY22,22,"System-dynamics model of adoption, capacity, and value",4,"Productivity, Work Redesign, and Implementation","4, 8, 12",AIHE-B03; AIHE-D02,AIHE-CASE04,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/04/py/PY22_system_dynamics,AIHE-CASE04,,AIHE-CASE04,chapters/04/py/PY22_system_dynamics/python/22_system_dynamics_adoption_capacity.py,chapters/04/py/PY22_system_dynamics/notebook/22_system_dynamics_adoption_capacity.ipynb,chapters/04/py/PY22_system_dynamics/data/xlsx/22_system_dynamics_adoption_capacity_template.xlsx,,chapters/04/py/PY22_system_dynamics/outputs/example,2026-09-02,
AIHE-PY23,23,Agent-based simulation of clinician adoption,4,"Productivity, Work Redesign, and Implementation","4, 8, 12",AIHE-D02; AIHE-RG03,AIHE-CASE04,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/04/py/PY23_agent_based,AIHE-CASE04,AIHE-CASE03B,AIHE-CASE04; AIHE-CASE03B,chapters/04/py/PY23_agent_based/python/23_agent_based_clinician_adoption.py,chapters/04/py/PY23_agent_based/notebook/23_agent_based_clinician_adoption.ipynb,chapters/04/py/PY23_agent_based/data/xlsx/23_agent_based_clinician_adoption_template.xlsx,,chapters/04/py/PY23_agent_based/outputs/example,2026-09-02,
AIHE-PY24,24,Implementation evaluation with interrupted time series and control charts,11,"Evidence, Validation, and Real-World Evaluation","4, 11",AIHE-C01; AIHE-B05,AIHE-CASE11,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/11/py/PY24_impl_eval,AIHE-CASE11,,AIHE-CASE11,chapters/11/py/PY24_impl_eval/python/24_implementation_evaluation.py,chapters/11/py/PY24_impl_eval/notebook/24_implementation_evaluation.ipynb,chapters/11/py/PY24_impl_eval/data/xlsx/24_implementation_evaluation_template.xlsx,,chapters/11/py/PY24_impl_eval/outputs/example,2026-09-02,
AIHE-PY25,25,Weighted procurement scorecard with mandatory safeguards,9,Problem-First Procurement and Vendor Governance,"9, 12, 14",AIHE-D01,AIHE-CASE09,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/09/py/PY25_procurement,AIHE-CASE09,,AIHE-CASE09,chapters/09/py/PY25_procurement/python/25_procurement_mcda_scorecard.py,chapters/09/py/PY25_procurement/notebook/25_procurement_mcda_scorecard.ipynb,chapters/09/py/PY25_procurement/data/xlsx/25_procurement_mcda_scorecard_template.xlsx,,chapters/09/py/PY25_procurement/outputs/example,2026-09-02,
AIHE-PY26,26,"Integrated privacy, cybersecurity, equity, safety, and trust risk register",10,"Governance, Accountability, and Institutional Risk","10, 12",AIHE-C03,AIHE-CASE10,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/10/py/PY26_risk_register,AIHE-CASE10,,AIHE-CASE10,chapters/10/py/PY26_risk_register/python/26_integrated_risk_register.py,chapters/10/py/PY26_risk_register/notebook/26_integrated_risk_register.ipynb,chapters/10/py/PY26_risk_register/data/xlsx/26_integrated_risk_register_template.xlsx,,chapters/10/py/PY26_risk_register/outputs/example,2026-09-02,
AIHE-PY27,27,"Algorithmovigilance, lifecycle cadence, drift, and incident monitoring",12,Decision Architecture and Lifecycle Governance,"5, 11, 12",AIHE-D03; AIHE-D04,AIHE-CASE12,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/12/py/PY27_monitoring,AIHE-CASE12,,AIHE-CASE12,chapters/12/py/PY27_monitoring/python/27_algorithmovigilance_monitoring.py,chapters/12/py/PY27_monitoring/notebook/27_algorithmovigilance_monitoring.ipynb,chapters/12/py/PY27_monitoring/data/xlsx/27_algorithmovigilance_monitoring_template.xlsx,,chapters/12/py/PY27_monitoring/outputs/example,2026-09-02,
AIHE-PY28,28,"Workflow time, capacity, productivity, and benefit realization",4,"Productivity, Work Redesign, and Implementation","4, 6",AIHE-B03,AIHE-CASE04,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/04/py/PY28_productivity,AIHE-CASE04,,AIHE-CASE04,chapters/04/py/PY28_productivity/python/28_workflow_productivity.py,chapters/04/py/PY28_productivity/notebook/28_workflow_productivity.ipynb,chapters/04/py/PY28_productivity/data/xlsx/28_workflow_productivity_template.xlsx,,chapters/04/py/PY28_productivity/outputs/example,2026-09-02,
AIHE-PY29,29,AI-HED completeness and institutional decision-quality audit,12,Decision Architecture and Lifecycle Governance,12,AIHE-D02,AIHE-CASE12,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/12/py/PY29_decision_audit,AIHE-CASE12,,AIHE-CASE12,chapters/12/py/PY29_decision_audit/python/29_integrated_decision_dossier.py,chapters/12/py/PY29_decision_audit/notebook/29_integrated_decision_dossier.ipynb,chapters/12/py/PY29_decision_audit/data/xlsx/29_integrated_decision_dossier_template.xlsx,,chapters/12/py/PY29_decision_audit/outputs/example,2026-09-02,
AIHE-PY30,30,Random-effects meta-analysis and forest plot,11,"Evidence, Validation, and Real-World Evaluation",11,AIHE-B05; AIHE-RG02,AIHE-CASE11,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/11/py/PY30_meta_analysis,AIHE-CASE11,,AIHE-CASE11,chapters/11/py/PY30_meta_analysis/python/30_random_effects_meta_analysis.py,chapters/11/py/PY30_meta_analysis/notebook/30_random_effects_meta_analysis.ipynb,chapters/11/py/PY30_meta_analysis/data/xlsx/30_random_effects_meta_analysis_template.xlsx,,chapters/11/py/PY30_meta_analysis/outputs/example,2026-09-02,
AIHE-PY31,31,Difference-in-differences evaluation,11,"Evidence, Validation, and Real-World Evaluation",11,AIHE-B05,AIHE-CASE11,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/11/py/PY31_diff_in_diff,AIHE-CASE11,,AIHE-CASE11,chapters/11/py/PY31_diff_in_diff/python/31_difference_in_differences.py,chapters/11/py/PY31_diff_in_diff/notebook/31_difference_in_differences.ipynb,chapters/11/py/PY31_diff_in_diff/data/xlsx/31_difference_in_differences_template.xlsx,,chapters/11/py/PY31_diff_in_diff/outputs/example,2026-09-02,
AIHE-PY32,32,Time-to-event and survival analysis,11,"Evidence, Validation, and Real-World Evaluation","7, 8, 11",AIHE-B05,AIHE-CASE11,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/11/py/PY32_survival,AIHE-CASE11,,AIHE-CASE11,chapters/11/py/PY32_survival/python/32_survival_time_to_event.py,chapters/11/py/PY32_survival/notebook/32_survival_time_to_event.ipynb,chapters/11/py/PY32_survival/data/xlsx/32_survival_time_to_event_template.xlsx,,chapters/11/py/PY32_survival/outputs/example,2026-09-02,
AIHE-PY33,33,Patient or service segmentation using clustering,2,Institutional Readiness and Digital Foundations,"2, 11",AIHE-A04,AIHE-CASE02,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/02/py/PY33_clustering,AIHE-CASE02,,AIHE-CASE02,chapters/02/py/PY33_clustering/python/33_patient_segmentation_clustering.py,chapters/02/py/PY33_clustering/notebook/33_patient_segmentation_clustering.ipynb,chapters/02/py/PY33_clustering/data/xlsx/33_patient_segmentation_clustering_template.xlsx,,chapters/02/py/PY33_clustering/outputs/example,2026-09-02,
AIHE-PY34,34,"Time-series forecasting for demand, capacity, and budget planning",3,Human–AI Decision Systems and Managerial Action,"3, 6, 8, 13",AIHE-C01; AIHE-B03,AIHE-CASE03,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/03/py/PY34_forecasting,AIHE-CASE03,AIHE-CASE03B,AIHE-CASE03; AIHE-CASE03B,chapters/03/py/PY34_forecasting/python/34_time_series_forecasting.py,chapters/03/py/PY34_forecasting/notebook/34_time_series_forecasting.ipynb,chapters/03/py/PY34_forecasting/data/xlsx/34_time_series_forecasting_template.xlsx,,chapters/03/py/PY34_forecasting/outputs/example,2026-09-02,
AIHE-PY35,35,Constrained resource-allocation optimization,3,Human–AI Decision Systems and Managerial Action,"3, 8, 13",AIHE-B05,AIHE-CASE03,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/03/py/PY35_allocation,AIHE-CASE03,AIHE-CASE03B,AIHE-CASE03; AIHE-CASE03B,chapters/03/py/PY35_allocation/python/35_resource_allocation_optimization.py,chapters/03/py/PY35_allocation/notebook/35_resource_allocation_optimization.ipynb,chapters/03/py/PY35_allocation/data/xlsx/35_resource_allocation_optimization_template.xlsx,,chapters/03/py/PY35_allocation/outputs/example,2026-09-02,
AIHE-PY36,36,"Environmental, material-flow, and lifecycle resource accounting",13,Circular Health Systems and Resource Stewardship,"13, 15",AIHE-E01; AIHE-E05,AIHE-CASE13,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/13/py/PY36_circular_flow,AIHE-CASE13,,AIHE-CASE13,chapters/13/py/PY36_circular_flow/python/36_circular_economy_material_carbon_cost.py,chapters/13/py/PY36_circular_flow/notebook/36_circular_economy_material_carbon_cost.ipynb,chapters/13/py/PY36_circular_flow/data/xlsx/36_circular_economy_material_carbon_cost_template.xlsx,,chapters/13/py/PY36_circular_flow/outputs/example,2026-09-02,
AIHE-PY37,37,Circular asset-life option analysis,14,Circular Procurement and Asset Stewardship,"6, 14, 15",AIHE-E03,AIHE-CASE14,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/14/py/PY37_asset_life,AIHE-CASE14,,AIHE-CASE14,chapters/14/py/PY37_asset_life/python/37_reuse_refurbish_replace_scenarios.py,chapters/14/py/PY37_asset_life/notebook/37_reuse_refurbish_replace_scenarios.ipynb,chapters/14/py/PY37_asset_life/data/xlsx/37_reuse_refurbish_replace_scenarios_template.xlsx,,chapters/14/py/PY37_asset_life/outputs/example,2026-09-02,
AIHE-PY38,38,Circularity-adjusted economic evaluation and sustainable value,15,Circularity-Adjusted Economic Evaluation and Sustainable Value,"7, 8, 15",AIHE-E04,AIHE-CASE15,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/15/py/PY38_circular_eval,AIHE-CASE15,,AIHE-CASE15,chapters/15/py/PY38_circular_eval/python/38_circularity_adjusted_economic_evaluation.py,chapters/15/py/PY38_circular_eval/notebook/38_circularity_adjusted_economic_evaluation.ipynb,chapters/15/py/PY38_circular_eval/data/xlsx/38_circularity_adjusted_economic_evaluation_template.xlsx,,chapters/15/py/PY38_circular_eval/outputs/example,2026-09-02,
AIHE-PY39,39,Annual circularity portfolio review and trend monitoring,13,Circular Health Systems and Resource Stewardship,"12, 13, 14, 15",AIHE-E05,AIHE-CASE13,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/13/py/PY39_portfolio_review,AIHE-CASE13,,AIHE-CASE13,chapters/13/py/PY39_portfolio_review/python/39_annual_circularity_portfolio_review.py,chapters/13/py/PY39_portfolio_review/notebook/39_annual_circularity_portfolio_review.ipynb,chapters/13/py/PY39_portfolio_review/data/xlsx/39_annual_circularity_portfolio_review_template.xlsx,,chapters/13/py/PY39_portfolio_review/outputs/example,2026-09-02,
AIHE-PY40,40,Lifecycle decision-state and trigger review,12,Decision Architecture and Lifecycle Governance,"5, 9, 10, 11, 12, 14, 15",AIHE-D02; AIHE-D03; AIHE-D04; AIHE-D05,AIHE-CASE12; AIHE-CASE15,py; ipynb; csv; json; md,V1.0,public,chapters/12/py/PY40_decision_state,,,,chapters/12/py/PY40_decision_state/python/40_lifecycle_decision_state_and_trigger_review.py,chapters/12/py/PY40_decision_state/notebook/40_lifecycle_decision_state_and_trigger_review.ipynb,,,,2026-09-02,Advisory only; accountable human authority is required for every state transition.
