resource_id,module_number,title,primary_chapter,primary_chapter_title,additional_chapters,related_core_resources,related_case,formats,version,status,folder,primary_related_case,additional_related_cases,related_cases,script_path,notebook_path,xlsx_template_path,ods_template_path,example_outputs_path,release_date,safeguard
AIHE-PY11,11,"ROI, net benefit, and benefit-realization analysis",6,"Lifecycle Cost, Pricing, and Benefit Realization","4, 6, 7",AIHE-B03,AIHE-CASE06,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/06/python_analytics/PY11_finance_value,AIHE-CASE06,,AIHE-CASE06,chapters/06/python_analytics/PY11_finance_value/python/11_roi_benefit_realization.py,chapters/06/python_analytics/PY11_finance_value/notebook/11_roi_benefit_realization.ipynb,chapters/06/python_analytics/PY11_finance_value/data/xlsx/11_roi_benefit_realization_template.xlsx,,chapters/06/python_analytics/PY11_finance_value/outputs/example,2026-09-16,
AIHE-PY12,12,"Cost-effectiveness, ICER, and net monetary benefit",7,"Economic Evaluation, Affordability, and Health Technology Assessment","7, 8",AIHE-B04,AIHE-CASE07,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/07/python_analytics/PY12_cost_effect,AIHE-CASE07,,AIHE-CASE07,chapters/07/python_analytics/PY12_cost_effect/python/12_cost_effectiveness_icer_nmb.py,chapters/07/python_analytics/PY12_cost_effect/notebook/12_cost_effectiveness_icer_nmb.ipynb,chapters/07/python_analytics/PY12_cost_effect/data/xlsx/12_cost_effectiveness_icer_nmb_template.xlsx,,chapters/07/python_analytics/PY12_cost_effect/outputs/example,2026-09-16,
AIHE-PY13,13,Multiyear budget-impact analysis,7,"Economic Evaluation, Affordability, and Health Technology Assessment","6, 7, 8",AIHE-B04,AIHE-CASE07,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/07/python_analytics/PY13_budget_impact,AIHE-CASE07,,AIHE-CASE07,chapters/07/python_analytics/PY13_budget_impact/python/13_budget_impact_analysis.py,chapters/07/python_analytics/PY13_budget_impact/notebook/13_budget_impact_analysis.ipynb,chapters/07/python_analytics/PY13_budget_impact/data/xlsx/13_budget_impact_analysis_template.xlsx,,chapters/07/python_analytics/PY13_budget_impact/outputs/example,2026-09-16,
AIHE-PY14,14,Deterministic sensitivity and tornado analysis,8,"Decision Modelling, Simulation, and the Value of Information",8,AIHE-B05; AIHE-RG05,AIHE-CASE08,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/08/python_analytics/PY14_sensitivity,AIHE-CASE08,,AIHE-CASE08,chapters/08/python_analytics/PY14_sensitivity/python/14_deterministic_sensitivity_tornado.py,chapters/08/python_analytics/PY14_sensitivity/notebook/14_deterministic_sensitivity_tornado.ipynb,chapters/08/python_analytics/PY14_sensitivity/data/xlsx/14_deterministic_sensitivity_tornado_template.xlsx,,chapters/08/python_analytics/PY14_sensitivity/outputs/example,2026-09-16,
AIHE-PY15,15,"Probabilistic sensitivity analysis, CEAC, and EVPI",8,"Decision Modelling, Simulation, and the Value of Information",8,AIHE-B05; AIHE-RG05,AIHE-CASE08,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/08/python_analytics/PY15_psa_voi,AIHE-CASE08,,AIHE-CASE08,chapters/08/python_analytics/PY15_psa_voi/python/15_probabilistic_sensitivity_ceac_evpi.py,chapters/08/python_analytics/PY15_psa_voi/notebook/15_probabilistic_sensitivity_ceac_evpi.ipynb,chapters/08/python_analytics/PY15_psa_voi/data/xlsx/15_probabilistic_sensitivity_ceac_evpi_template.xlsx,,chapters/08/python_analytics/PY15_psa_voi/outputs/example,2026-09-16,
AIHE-PY16,16,Distributional cost-effectiveness and equity-weighted analysis,7,"Economic Evaluation, Affordability, and Health Technology Assessment","7, 10",AIHE-B04; AIHE-C03,AIHE-CASE07,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/07/python_analytics/PY16_distributional,AIHE-CASE07,,AIHE-CASE07,chapters/07/python_analytics/PY16_distributional/python/16_distributional_cost_effectiveness.py,chapters/07/python_analytics/PY16_distributional/notebook/16_distributional_cost_effectiveness.ipynb,chapters/07/python_analytics/PY16_distributional/data/xlsx/16_distributional_cost_effectiveness_template.xlsx,,chapters/07/python_analytics/PY16_distributional/outputs/example,2026-09-16,
AIHE-PY17,17,AI pricing and contract scn analysis,9,Problem-First Procurement and Vendor Governance,"6, 9",AIHE-B02; AIHE-D01,AIHE-CASE09,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/09/python_analytics/PY17_pricing_contract,AIHE-CASE09,,AIHE-CASE09,chapters/09/python_analytics/PY17_pricing_contract/python/17_ai_pricing_contract_scenarios.py,chapters/09/python_analytics/PY17_pricing_contract/notebook/17_ai_pricing_contract_scenarios.ipynb,chapters/09/python_analytics/PY17_pricing_contract/data/xlsx/17_ai_pricing_contract_scenarios_template.xlsx,,chapters/09/python_analytics/PY17_pricing_contract/outputs/example,2026-09-16,
AIHE-PY18,18,Decision-tree pathway model,8,"Decision Modelling, Simulation, and the Value of Information",8,AIHE-B05,AIHE-CASE08,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/08/python_analytics/PY18_decision_tree,AIHE-CASE08,,AIHE-CASE08,chapters/08/python_analytics/PY18_decision_tree/python/18_decision_tree_pathway.py,chapters/08/python_analytics/PY18_decision_tree/notebook/18_decision_tree_pathway.ipynb,chapters/08/python_analytics/PY18_decision_tree/data/xlsx/18_decision_tree_pathway_template.xlsx,,chapters/08/python_analytics/PY18_decision_tree/outputs/example,2026-09-16,
AIHE-PY19,19,Markov cohort model for long-term AI evaluation,8,"Decision Modelling, Simulation, and the Value of Information",8,AIHE-B05,AIHE-CASE08,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/08/python_analytics/PY19_markov,AIHE-CASE08,,AIHE-CASE08,chapters/08/python_analytics/PY19_markov/python/19_markov_cohort_model.py,chapters/08/python_analytics/PY19_markov/notebook/19_markov_cohort_model.ipynb,chapters/08/python_analytics/PY19_markov/data/xlsx/19_markov_cohort_model_template.xlsx,,chapters/08/python_analytics/PY19_markov/outputs/example,2026-09-16,
AIHE-PY20,20,Patient-level microsimulation,8,"Decision Modelling, Simulation, and the Value of Information",8,AIHE-B05,AIHE-CASE08,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/08/python_analytics/PY20_microsim,AIHE-CASE08,,AIHE-CASE08,chapters/08/python_analytics/PY20_microsim/python/20_patient_microsimulation.py,chapters/08/python_analytics/PY20_microsim/notebook/20_patient_microsimulation.ipynb,chapters/08/python_analytics/PY20_microsim/data/xlsx/20_patient_microsimulation_template.xlsx,,chapters/08/python_analytics/PY20_microsim/outputs/example,2026-09-16,
AIHE-PY21,21,Discrete-event simulation of hospital flow,3,Human–AI Decision Systems and Managerial Action,"3, 8",AIHE-B05; AIHE-C04,AIHE-CASE03,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/03/python_analytics/PY21_discrete_event,AIHE-CASE03,AIHE-CASE03B,AIHE-CASE03; AIHE-CASE03B,chapters/03/python_analytics/PY21_discrete_event/python/21_discrete_event_hospital_flow.py,chapters/03/python_analytics/PY21_discrete_event/notebook/21_discrete_event_hospital_flow.ipynb,chapters/03/python_analytics/PY21_discrete_event/data/xlsx/21_discrete_event_hospital_flow_template.xlsx,,chapters/03/python_analytics/PY21_discrete_event/outputs/example,2026-09-16,
AIHE-PY22,22,"System-dynamics model of adoption, capacity, and value",4,"Productivity, Work Redesign, and Implementation","4, 8, 12",AIHE-B03; AIHE-D02,AIHE-CASE04,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/04/python_analytics/PY22_system_dynamics,AIHE-CASE04,,AIHE-CASE04,chapters/04/python_analytics/PY22_system_dynamics/python/22_system_dynamics_adoption_capacity.py,chapters/04/python_analytics/PY22_system_dynamics/notebook/22_system_dynamics_adoption_capacity.ipynb,chapters/04/python_analytics/PY22_system_dynamics/data/xlsx/22_system_dynamics_adoption_capacity_template.xlsx,,chapters/04/python_analytics/PY22_system_dynamics/outputs/example,2026-09-16,
AIHE-PY23,23,Agent-based simulation of clinician adoption,4,"Productivity, Work Redesign, and Implementation","4, 8, 12",AIHE-D02; AIHE-RG03,AIHE-CASE04,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/04/python_analytics/PY23_agent_based,AIHE-CASE04,AIHE-CASE03B,AIHE-CASE04; AIHE-CASE03B,chapters/04/python_analytics/PY23_agent_based/python/23_agent_based_clinician_adoption.py,chapters/04/python_analytics/PY23_agent_based/notebook/23_agent_based_clinician_adoption.ipynb,chapters/04/python_analytics/PY23_agent_based/data/xlsx/23_agent_based_clinician_adoption_template.xlsx,,chapters/04/python_analytics/PY23_agent_based/outputs/example,2026-09-16,
AIHE-PY24,24,Implementation evaluation with interrupted time series and control charts,11,"Evidence, Validation, and Real-World Evaluation","4, 11",AIHE-C01; AIHE-B05,AIHE-CASE11,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/11/python_analytics/PY24_impl_eval,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/PY24_impl_eval/python/24_implementation_evaluation.py,chapters/11/python_analytics/PY24_impl_eval/notebook/24_implementation_evaluation.ipynb,chapters/11/python_analytics/PY24_impl_eval/data/xlsx/24_implementation_evaluation_template.xlsx,,chapters/11/python_analytics/PY24_impl_eval/outputs/example,2026-09-16,
AIHE-PY25,25,Weighted procurement scorecard with mandatory safeguards,9,Problem-First Procurement and Vendor Governance,"9, 12",AIHE-D01,AIHE-CASE09,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/09/python_analytics/PY25_procurement,AIHE-CASE09,,AIHE-CASE09,chapters/09/python_analytics/PY25_procurement/python/25_procurement_mcda_scorecard.py,chapters/09/python_analytics/PY25_procurement/notebook/25_procurement_mcda_scorecard.ipynb,chapters/09/python_analytics/PY25_procurement/data/xlsx/25_procurement_mcda_scorecard_template.xlsx,,chapters/09/python_analytics/PY25_procurement/outputs/example,2026-09-16,
AIHE-PY26,26,"Integrated privacy, cybersecurity, equity, safety, and trust risk register",10,"Governance, Accountability, and Institutional Risk","10, 12",AIHE-C03,AIHE-CASE10,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/10/python_analytics/PY26_risk_register,AIHE-CASE10,,AIHE-CASE10,chapters/10/python_analytics/PY26_risk_register/python/26_integrated_risk_register.py,chapters/10/python_analytics/PY26_risk_register/notebook/26_integrated_risk_register.ipynb,chapters/10/python_analytics/PY26_risk_register/data/xlsx/26_integrated_risk_register_template.xlsx,,chapters/10/python_analytics/PY26_risk_register/outputs/example,2026-09-16,
AIHE-PY27,27,"Algorithmovigilance, lifecycle cadence, drift, and incident monitoring",12,Decision Architecture and Lifecycle Governance,"5, 11, 12",AIHE-D03; AIHE-D04,AIHE-CASE12,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/12/python_analytics/PY27_monitoring,AIHE-CASE12,,AIHE-CASE12,chapters/12/python_analytics/PY27_monitoring/python/27_algorithmovigilance_monitoring.py,chapters/12/python_analytics/PY27_monitoring/notebook/27_algorithmovigilance_monitoring.ipynb,chapters/12/python_analytics/PY27_monitoring/data/xlsx/27_algorithmovigilance_monitoring_template.xlsx,,chapters/12/python_analytics/PY27_monitoring/outputs/example,2026-09-16,
AIHE-PY28,28,"Workflow time, capacity, productivity, and benefit realization",4,"Productivity, Work Redesign, and Implementation","4, 6",AIHE-B03,AIHE-CASE04,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/04/python_analytics/PY28_productivity,AIHE-CASE04,,AIHE-CASE04,chapters/04/python_analytics/PY28_productivity/python/28_workflow_productivity.py,chapters/04/python_analytics/PY28_productivity/notebook/28_workflow_productivity.ipynb,chapters/04/python_analytics/PY28_productivity/data/xlsx/28_workflow_productivity_template.xlsx,,chapters/04/python_analytics/PY28_productivity/outputs/example,2026-09-16,
AIHE-PY29,29,AI-HED Decision-Provenance and Lifecycle-Trigger Audit,12,Decision Architecture and Lifecycle Governance,12,AIHE-D02; AIHE-D03; AIHE-D04; AIHE-D05,AIHE-CASE12; AIHE-CASE09B,py; ipynb; csv; json; md,V1.0,public,chapters/12/python_analytics/PY29_decision_audit,AIHE-CASE12,AIHE-CASE09B,AIHE-CASE12; AIHE-CASE09B,chapters/12/python_analytics/PY29_decision_audit/python/29_ai_hed_decision_provenance_and_lifecycle_trigger_audit.py,chapters/12/python_analytics/PY29_decision_audit/notebook/29_ai_hed_decision_provenance_and_lifecycle_trigger_audit.ipynb,,,chapters/12/python_analytics/PY29_decision_audit/outputs/example,2026-09-16,
AIHE-PY30,30,Random-effects meta-analysis and forest plot,11,"Evidence, Validation, and Real-World Evaluation",11,AIHE-B05; AIHE-RG02,AIHE-CASE11,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/11/python_analytics/PY30_meta_analysis,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/PY30_meta_analysis/python/30_random_effects_meta_analysis.py,chapters/11/python_analytics/PY30_meta_analysis/notebook/30_random_effects_meta_analysis.ipynb,chapters/11/python_analytics/PY30_meta_analysis/data/xlsx/30_random_effects_meta_analysis_template.xlsx,,chapters/11/python_analytics/PY30_meta_analysis/outputs/example,2026-09-16,
AIHE-PY31,31,Difference-in-differences evaluation,11,"Evidence, Validation, and Real-World Evaluation",11,AIHE-B05,AIHE-CASE11,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/11/python_analytics/PY31_diff_in_diff,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/PY31_diff_in_diff/python/31_difference_in_differences.py,chapters/11/python_analytics/PY31_diff_in_diff/notebook/31_difference_in_differences.ipynb,chapters/11/python_analytics/PY31_diff_in_diff/data/xlsx/31_difference_in_differences_template.xlsx,,chapters/11/python_analytics/PY31_diff_in_diff/outputs/example,2026-09-16,
AIHE-PY32,32,Time-to-event and survival analysis,11,"Evidence, Validation, and Real-World Evaluation","7, 8, 11",AIHE-B05,AIHE-CASE11,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/11/python_analytics/PY32_survival,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/PY32_survival/python/32_survival_time_to_event.py,chapters/11/python_analytics/PY32_survival/notebook/32_survival_time_to_event.ipynb,chapters/11/python_analytics/PY32_survival/data/xlsx/32_survival_time_to_event_template.xlsx,,chapters/11/python_analytics/PY32_survival/outputs/example,2026-09-16,
AIHE-PY33,33,Patient or service segmentation using clustering,2,Institutional Readiness and Digital Foundations,"2, 11",AIHE-A04,AIHE-CASE02,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/02/python_analytics/PY33_clustering,AIHE-CASE02,,AIHE-CASE02,chapters/02/python_analytics/PY33_clustering/python/33_patient_segmentation_clustering.py,chapters/02/python_analytics/PY33_clustering/notebook/33_patient_segmentation_clustering.ipynb,chapters/02/python_analytics/PY33_clustering/data/xlsx/33_patient_segmentation_clustering_template.xlsx,,chapters/02/python_analytics/PY33_clustering/outputs/example,2026-09-16,
AIHE-PY34,34,"Time-series forecasting for demand, capacity, and budget planning",3,Human–AI Decision Systems and Managerial Action,"3, 6, 8",AIHE-C01; AIHE-B03,AIHE-CASE03,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/03/python_analytics/PY34_forecasting,AIHE-CASE03,AIHE-CASE03B,AIHE-CASE03; AIHE-CASE03B,chapters/03/python_analytics/PY34_forecasting/python/34_time_series_forecasting.py,chapters/03/python_analytics/PY34_forecasting/notebook/34_time_series_forecasting.ipynb,chapters/03/python_analytics/PY34_forecasting/data/xlsx/34_time_series_forecasting_template.xlsx,,chapters/03/python_analytics/PY34_forecasting/outputs/example,2026-09-16,
AIHE-PY35,35,Constrained resource-allocation optimization,3,Human–AI Decision Systems and Managerial Action,"3, 8",AIHE-B05,AIHE-CASE03,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/03/python_analytics/PY35_allocation,AIHE-CASE03,AIHE-CASE03B,AIHE-CASE03; AIHE-CASE03B,chapters/03/python_analytics/PY35_allocation/python/35_resource_allocation_optimization.py,chapters/03/python_analytics/PY35_allocation/notebook/35_resource_allocation_optimization.ipynb,chapters/03/python_analytics/PY35_allocation/data/xlsx/35_resource_allocation_optimization_template.xlsx,,chapters/03/python_analytics/PY35_allocation/outputs/example,2026-09-16,
AIHE-PY40,40,Lifecycle Decision-State and Trigger Review,12,Decision Architecture and Lifecycle Governance,"5, 9, 10, 11, 12",AIHE-D02; AIHE-D03; AIHE-D04; AIHE-D05,AIHE-CASE12; AIHE-CASE09B,py; ipynb; csv; json; md,V1.0,public,chapters/12/python_analytics/PY40_decision_state,AIHE-CASE12,AIHE-CASE09B,AIHE-CASE12; AIHE-CASE09B,chapters/12/python_analytics/PY40_decision_state/python/40_lifecycle_decision_state_and_trigger_review.py,chapters/12/python_analytics/PY40_decision_state/notebook/40_lifecycle_decision_state_and_trigger_review.ipynb,,,chapters/12/python_analytics/PY40_decision_state/outputs/example,2026-09-16,Advisory only; accountable human authority is required for every state transition.
